Territory X Date,target
Afghanistan X 4/5/20,7
Afghanistan X 4/6/20,11
Afghanistan X 4/7/20,14
Afghanistan X 4/8/20,14
Afghanistan X 4/9/20,15
Afghanistan X 4/10/20,15
Afghanistan X 4/11/20,18
Albania X 4/5/20,20
Albania X 4/6/20,21
Albania X 4/7/20,22
Albania X 4/8/20,22
Albania X 4/9/20,23
Albania X 4/10/20,23
Albania X 4/11/20,23
Algeria X 4/5/20,152
Algeria X 4/6/20,173
Algeria X 4/7/20,193
Algeria X 4/8/20,205
Algeria X 4/9/20,235
Algeria X 4/10/20,256
Algeria X 4/11/20,275
Andorra X 4/5/20,18
Andorra X 4/6/20,21
Andorra X 4/7/20,22
Andorra X 4/8/20,23
Andorra X 4/9/20,25
Andorra X 4/10/20,26
Andorra X 4/11/20,26
Angola X 4/5/20,2
Angola X 4/6/20,2
Angola X 4/7/20,2
Angola X 4/8/20,2
Angola X 4/9/20,2
Angola X 4/10/20,2
Angola X 4/11/20,2
Antigua and Barbuda X 4/5/20,0
Antigua and Barbuda X 4/6/20,0
Antigua and Barbuda X 4/7/20,1
Antigua and Barbuda X 4/8/20,2
Antigua and Barbuda X 4/9/20,2
Antigua and Barbuda X 4/10/20,2
Antigua and Barbuda X 4/11/20,2
Argentina X 4/5/20,44
Argentina X 4/6/20,48
Argentina X 4/7/20,56
Argentina X 4/8/20,63
Argentina X 4/9/20,72
Argentina X 4/10/20,82
Argentina X 4/11/20,83
Armenia X 4/5/20,7
Armenia X 4/6/20,8
Armenia X 4/7/20,8
Armenia X 4/8/20,9
Armenia X 4/9/20,10
Armenia X 4/10/20,12
Armenia X 4/11/20,13
Aruba X 4/5/20,0
Aruba X 4/6/20,0
Aruba X 4/7/20,0
Aruba X 4/8/20,0
Aruba X 4/9/20,0
Aruba X 4/10/20,0
Aruba X 4/11/20,0
Australia X 4/5/20,35
Australia X 4/6/20,40
Australia X 4/7/20,45
Australia X 4/8/20,50
Australia X 4/9/20,51
Australia X 4/10/20,54
Australia X 4/11/20,57
Austria X 4/5/20,204
Austria X 4/6/20,220
Austria X 4/7/20,243
Austria X 4/8/20,273
Austria X 4/9/20,295
Austria X 4/10/20,319
Austria X 4/11/20,337
Azerbaijan X 4/5/20,7
Azerbaijan X 4/6/20,7
Azerbaijan X 4/7/20,8
Azerbaijan X 4/8/20,8
Azerbaijan X 4/9/20,9
Azerbaijan X 4/10/20,10
Azerbaijan X 4/11/20,11
Bahamas (the) X 4/5/20,4
Bahamas (the) X 4/6/20,5
Bahamas (the) X 4/7/20,6
Bahamas (the) X 4/8/20,7
Bahamas (the) X 4/9/20,8
Bahamas (the) X 4/10/20,8
Bahamas (the) X 4/11/20,8
Bahrain X 4/5/20,4
Bahrain X 4/6/20,4
Bahrain X 4/7/20,5
Bahrain X 4/8/20,5
Bahrain X 4/9/20,5
Bahrain X 4/10/20,6
Bahrain X 4/11/20,6
Bangladesh X 4/5/20,9
Bangladesh X 4/6/20,12
Bangladesh X 4/7/20,17
Bangladesh X 4/8/20,20
Bangladesh X 4/9/20,21
Bangladesh X 4/10/20,27
Bangladesh X 4/11/20,30
Barbados X 4/5/20,1
Barbados X 4/6/20,2
Barbados X 4/7/20,3
Barbados X 4/8/20,3
Barbados X 4/9/20,3
Barbados X 4/10/20,4
Barbados X 4/11/20,4
Belarus X 4/5/20,8
Belarus X 4/6/20,13
Belarus X 4/7/20,13
Belarus X 4/8/20,13
Belarus X 4/9/20,16
Belarus X 4/10/20,19
Belarus X 4/11/20,23
Belgium X 4/5/20,1447
Belgium X 4/6/20,1632
Belgium X 4/7/20,2035
Belgium X 4/8/20,2240
Belgium X 4/9/20,2523
Belgium X 4/10/20,3019
Belgium X 4/11/20,3346
Belize X 4/5/20,0
Belize X 4/6/20,1
Belize X 4/7/20,1
Belize X 4/8/20,1
Belize X 4/9/20,1
Belize X 4/10/20,2
Belize X 4/11/20,2
Benin X 4/5/20,0
Benin X 4/6/20,1
Benin X 4/7/20,1
Benin X 4/8/20,1
Benin X 4/9/20,1
Benin X 4/10/20,1
Benin X 4/11/20,1
Bermuda X 4/5/20,0
Bermuda X 4/6/20,2
Bermuda X 4/7/20,2
Bermuda X 4/8/20,3
Bermuda X 4/9/20,4
Bermuda X 4/10/20,4
Bermuda X 4/11/20,4
Bhutan X 4/5/20,0
Bhutan X 4/6/20,0
Bhutan X 4/7/20,0
Bhutan X 4/8/20,0
Bhutan X 4/9/20,0
Bhutan X 4/10/20,0
Bhutan X 4/11/20,0
Bolivia (Plurinational State of) X 4/5/20,10
Bolivia (Plurinational State of) X 4/6/20,11
Bolivia (Plurinational State of) X 4/7/20,14
Bolivia (Plurinational State of) X 4/8/20,15
Bolivia (Plurinational State of) X 4/9/20,18
Bolivia (Plurinational State of) X 4/10/20,19
Bolivia (Plurinational State of) X 4/11/20,20
Bosnia and Herzegovina X 4/5/20,23
Bosnia and Herzegovina X 4/6/20,29
Bosnia and Herzegovina X 4/7/20,33
Bosnia and Herzegovina X 4/8/20,34
Bosnia and Herzegovina X 4/9/20,35
Bosnia and Herzegovina X 4/10/20,36
Bosnia and Herzegovina X 4/11/20,37
Botswana X 4/5/20,1
Botswana X 4/6/20,1
Botswana X 4/7/20,1
Botswana X 4/8/20,1
Botswana X 4/9/20,1
Botswana X 4/10/20,1
Botswana X 4/11/20,1
Brazil X 4/5/20,486
Brazil X 4/6/20,564
Brazil X 4/7/20,686
Brazil X 4/8/20,819
Brazil X 4/9/20,950
Brazil X 4/10/20,1057
Brazil X 4/11/20,1124
Brunei Darussalam X 4/5/20,1
Brunei Darussalam X 4/6/20,1
Brunei Darussalam X 4/7/20,1
Brunei Darussalam X 4/8/20,1
Brunei Darussalam X 4/9/20,1
Brunei Darussalam X 4/10/20,1
Brunei Darussalam X 4/11/20,1
Bulgaria X 4/5/20,20
Bulgaria X 4/6/20,22
Bulgaria X 4/7/20,23
Bulgaria X 4/8/20,24
Bulgaria X 4/9/20,24
Bulgaria X 4/10/20,25
Bulgaria X 4/11/20,28
Burkina Faso X 4/5/20,17
Burkina Faso X 4/6/20,18
Burkina Faso X 4/7/20,19
Burkina Faso X 4/8/20,23
Burkina Faso X 4/9/20,24
Burkina Faso X 4/10/20,24
Burkina Faso X 4/11/20,27
Burundi X 4/5/20,0
Burundi X 4/6/20,0
Burundi X 4/7/20,0
Burundi X 4/8/20,0
Burundi X 4/9/20,0
Burundi X 4/10/20,0
Burundi X 4/11/20,0
Cabo Verde X 4/5/20,1
Cabo Verde X 4/6/20,1
Cabo Verde X 4/7/20,1
Cabo Verde X 4/8/20,1
Cabo Verde X 4/9/20,1
Cabo Verde X 4/10/20,1
Cabo Verde X 4/11/20,1
Cambodia X 4/5/20,0
Cambodia X 4/6/20,0
Cambodia X 4/7/20,0
Cambodia X 4/8/20,0
Cambodia X 4/9/20,0
Cambodia X 4/10/20,0
Cambodia X 4/11/20,0
Cameroon X 4/5/20,9
Cameroon X 4/6/20,9
Cameroon X 4/7/20,9
Cameroon X 4/8/20,10
Cameroon X 4/9/20,10
Cameroon X 4/10/20,12
Cameroon X 4/11/20,12
Canada X 4/5/20,259
Canada X 4/6/20,339
Canada X 4/7/20,375
Canada X 4/8/20,407
Canada X 4/9/20,503
Canada X 4/10/20,557
Canada X 4/11/20,654
Cayman Islands X 4/5/20,1
Cayman Islands X 4/6/20,1
Cayman Islands X 4/7/20,1
Cayman Islands X 4/8/20,1
Cayman Islands X 4/9/20,1
Cayman Islands X 4/10/20,1
Cayman Islands X 4/11/20,1
Central African Republic (the) X 4/5/20,0
Central African Republic (the) X 4/6/20,0
Central African Republic (the) X 4/7/20,0
Central African Republic (the) X 4/8/20,0
Central African Republic (the) X 4/9/20,0
Central African Republic (the) X 4/10/20,0
Central African Republic (the) X 4/11/20,0
Chad X 4/5/20,0
Chad X 4/6/20,0
Chad X 4/7/20,0
Chad X 4/8/20,0
Chad X 4/9/20,0
Chad X 4/10/20,0
Chad X 4/11/20,0
Chile X 4/5/20,34
Chile X 4/6/20,37
Chile X 4/7/20,43
Chile X 4/8/20,48
Chile X 4/9/20,57
Chile X 4/10/20,65
Chile X 4/11/20,73
China X 4/5/20,3333
China X 4/6/20,3335
China X 4/7/20,3335
China X 4/8/20,3337
China X 4/9/20,3339
China X 4/10/20,3340
China X 4/11/20,3343
Colombia X 4/5/20,35
Colombia X 4/6/20,46
Colombia X 4/7/20,50
Colombia X 4/8/20,54
Colombia X 4/9/20,69
Colombia X 4/10/20,80
Colombia X 4/11/20,100
Comoros (the) X 4/5/20,0
Comoros (the) X 4/6/20,0
Comoros (the) X 4/7/20,0
Comoros (the) X 4/8/20,0
Comoros (the) X 4/9/20,0
Comoros (the) X 4/10/20,0
Comoros (the) X 4/11/20,0
Congo (the) X 4/5/20,5
Congo (the) X 4/6/20,5
Congo (the) X 4/7/20,5
Congo (the) X 4/8/20,5
Congo (the) X 4/9/20,5
Congo (the) X 4/10/20,5
Congo (the) X 4/11/20,5
Costa Rica X 4/5/20,2
Costa Rica X 4/6/20,2
Costa Rica X 4/7/20,2
Costa Rica X 4/8/20,3
Costa Rica X 4/9/20,3
Costa Rica X 4/10/20,3
Costa Rica X 4/11/20,3
Croatia X 4/5/20,15
Croatia X 4/6/20,16
Croatia X 4/7/20,18
Croatia X 4/8/20,19
Croatia X 4/9/20,20
Croatia X 4/10/20,21
Croatia X 4/11/20,21
Cuba X 4/5/20,8
Cuba X 4/6/20,9
Cuba X 4/7/20,11
Cuba X 4/8/20,12
Cuba X 4/9/20,15
Cuba X 4/10/20,15
Cuba X 4/11/20,16
Curacao X 4/5/20,1
Curacao X 4/6/20,1
Curacao X 4/7/20,1
Curacao X 4/8/20,1
Curacao X 4/9/20,1
Curacao X 4/10/20,1
Curacao X 4/11/20,1
Cyprus X 4/5/20,9
Cyprus X 4/6/20,9
Cyprus X 4/7/20,9
Cyprus X 4/8/20,9
Cyprus X 4/9/20,10
Cyprus X 4/10/20,10
Cyprus X 4/11/20,10
Czechia X 4/5/20,67
Czechia X 4/6/20,78
Czechia X 4/7/20,88
Czechia X 4/8/20,99
Czechia X 4/9/20,112
Czechia X 4/10/20,119
Czechia X 4/11/20,129
Côte d'Ivoire X 4/5/20,3
Côte d'Ivoire X 4/6/20,3
Côte d'Ivoire X 4/7/20,3
Côte d'Ivoire X 4/8/20,3
Côte d'Ivoire X 4/9/20,3
Côte d'Ivoire X 4/10/20,3
Côte d'Ivoire X 4/11/20,4
Democratic People's Republic of Korea (the) X 4/5/20,183
Democratic People's Republic of Korea (the) X 4/6/20,186
Democratic People's Republic of Korea (the) X 4/7/20,192
Democratic People's Republic of Korea (the) X 4/8/20,200
Democratic People's Republic of Korea (the) X 4/9/20,204
Democratic People's Republic of Korea (the) X 4/10/20,208
Democratic People's Republic of Korea (the) X 4/11/20,211
Democratic Republic of the Congo (the) X 4/5/20,18
Democratic Republic of the Congo (the) X 4/6/20,18
Democratic Republic of the Congo (the) X 4/7/20,18
Democratic Republic of the Congo (the) X 4/8/20,18
Democratic Republic of the Congo (the) X 4/9/20,18
Democratic Republic of the Congo (the) X 4/10/20,20
Democratic Republic of the Congo (the) X 4/11/20,20
Denmark X 4/5/20,179
Denmark X 4/6/20,187
Denmark X 4/7/20,203
Denmark X 4/8/20,218
Denmark X 4/9/20,237
Denmark X 4/10/20,247
Denmark X 4/11/20,260
Djibouti X 4/5/20,0
Djibouti X 4/6/20,0
Djibouti X 4/7/20,0
Djibouti X 4/8/20,0
Djibouti X 4/9/20,0
Djibouti X 4/10/20,1
Djibouti X 4/11/20,2
Dominica X 4/5/20,0
Dominica X 4/6/20,0
Dominica X 4/7/20,0
Dominica X 4/8/20,0
Dominica X 4/9/20,0
Dominica X 4/10/20,0
Dominica X 4/11/20,0
Dominican Republic (the) X 4/5/20,82
Dominican Republic (the) X 4/6/20,86
Dominican Republic (the) X 4/7/20,98
Dominican Republic (the) X 4/8/20,108
Dominican Republic (the) X 4/9/20,118
Dominican Republic (the) X 4/10/20,126
Dominican Republic (the) X 4/11/20,135
Ecuador X 4/5/20,180
Ecuador X 4/6/20,191
Ecuador X 4/7/20,191
Ecuador X 4/8/20,242
Ecuador X 4/9/20,272
Ecuador X 4/10/20,297
Ecuador X 4/11/20,315
Egypt X 4/5/20,78
Egypt X 4/6/20,85
Egypt X 4/7/20,94
Egypt X 4/8/20,103
Egypt X 4/9/20,118
Egypt X 4/10/20,135
Egypt X 4/11/20,146
El Salvador X 4/5/20,3
El Salvador X 4/6/20,4
El Salvador X 4/7/20,4
El Salvador X 4/8/20,5
El Salvador X 4/9/20,6
El Salvador X 4/10/20,6
El Salvador X 4/11/20,6
Equatorial Guinea X 4/5/20,0
Equatorial Guinea X 4/6/20,0
Equatorial Guinea X 4/7/20,0
Equatorial Guinea X 4/8/20,0
Equatorial Guinea X 4/9/20,0
Equatorial Guinea X 4/10/20,0
Equatorial Guinea X 4/11/20,0
Eritrea X 4/5/20,0
Eritrea X 4/6/20,0
Eritrea X 4/7/20,0
Eritrea X 4/8/20,0
Eritrea X 4/9/20,0
Eritrea X 4/10/20,0
Eritrea X 4/11/20,0
Estonia X 4/5/20,15
Estonia X 4/6/20,19
Estonia X 4/7/20,21
Estonia X 4/8/20,24
Estonia X 4/9/20,24
Estonia X 4/10/20,24
Estonia X 4/11/20,24
Eswatini X 4/5/20,0
Eswatini X 4/6/20,0
Eswatini X 4/7/20,0
Eswatini X 4/8/20,0
Eswatini X 4/9/20,0
Eswatini X 4/10/20,0
Eswatini X 4/11/20,0
Ethiopia X 4/5/20,2
Ethiopia X 4/6/20,2
Ethiopia X 4/7/20,2
Ethiopia X 4/8/20,2
Ethiopia X 4/9/20,2
Ethiopia X 4/10/20,3
Ethiopia X 4/11/20,3
Faroe Islands X 4/5/20,0
Faroe Islands X 4/6/20,0
Faroe Islands X 4/7/20,0
Faroe Islands X 4/8/20,0
Faroe Islands X 4/9/20,0
Faroe Islands X 4/10/20,0
Faroe Islands X 4/11/20,0
Fiji X 4/5/20,0
Fiji X 4/6/20,0
Fiji X 4/7/20,0
Fiji X 4/8/20,0
Fiji X 4/9/20,0
Fiji X 4/10/20,0
Fiji X 4/11/20,0
Finland X 4/5/20,28
Finland X 4/6/20,27
Finland X 4/7/20,34
Finland X 4/8/20,40
Finland X 4/9/20,42
Finland X 4/10/20,48
Finland X 4/11/20,49
France X 4/5/20,8082
France X 4/6/20,8915
France X 4/7/20,10332
France X 4/8/20,10875
France X 4/9/20,12216
France X 4/10/20,13203
France X 4/11/20,13838
French Guiana X 4/5/20,0
French Guiana X 4/6/20,0
French Guiana X 4/7/20,0
French Guiana X 4/8/20,0
French Guiana X 4/9/20,0
French Guiana X 4/10/20,0
French Guiana X 4/11/20,0
French Polynesia X 4/5/20,0
French Polynesia X 4/6/20,0
French Polynesia X 4/7/20,0
French Polynesia X 4/8/20,0
French Polynesia X 4/9/20,0
French Polynesia X 4/10/20,0
French Polynesia X 4/11/20,0
Gabon X 4/5/20,1
Gabon X 4/6/20,1
Gabon X 4/7/20,1
Gabon X 4/8/20,1
Gabon X 4/9/20,1
Gabon X 4/10/20,1
Gabon X 4/11/20,1
Gambia (the) X 4/5/20,1
Gambia (the) X 4/6/20,1
Gambia (the) X 4/7/20,1
Gambia (the) X 4/8/20,1
Gambia (the) X 4/9/20,1
Gambia (the) X 4/10/20,1
Gambia (the) X 4/11/20,1
Georgia X 4/5/20,2
Georgia X 4/6/20,2
Georgia X 4/7/20,3
Georgia X 4/8/20,3
Georgia X 4/9/20,3
Georgia X 4/10/20,3
Georgia X 4/11/20,3
Germany X 4/5/20,1584
Germany X 4/6/20,1810
Germany X 4/7/20,2016
Germany X 4/8/20,2349
Germany X 4/9/20,2607
Germany X 4/10/20,2767
Germany X 4/11/20,2736
Ghana X 4/5/20,5
Ghana X 4/6/20,5
Ghana X 4/7/20,5
Ghana X 4/8/20,6
Ghana X 4/9/20,6
Ghana X 4/10/20,6
Ghana X 4/11/20,8
Greece X 4/5/20,73
Greece X 4/6/20,79
Greece X 4/7/20,81
Greece X 4/8/20,83
Greece X 4/9/20,87
Greece X 4/10/20,92
Greece X 4/11/20,93
Greenland X 4/5/20,0
Greenland X 4/6/20,0
Greenland X 4/7/20,0
Greenland X 4/8/20,0
Greenland X 4/9/20,0
Greenland X 4/10/20,0
Greenland X 4/11/20,0
Grenada X 4/5/20,0
Grenada X 4/6/20,0
Grenada X 4/7/20,0
Grenada X 4/8/20,0
Grenada X 4/9/20,0
Grenada X 4/10/20,0
Grenada X 4/11/20,0
Guadeloupe X 4/5/20,7
Guadeloupe X 4/6/20,7
Guadeloupe X 4/7/20,7
Guadeloupe X 4/8/20,8
Guadeloupe X 4/9/20,8
Guadeloupe X 4/10/20,8
Guadeloupe X 4/11/20,8
Guatemala X 4/5/20,2
Guatemala X 4/6/20,3
Guatemala X 4/7/20,3
Guatemala X 4/8/20,3
Guatemala X 4/9/20,3
Guatemala X 4/10/20,3
Guatemala X 4/11/20,3
Guinea X 4/5/20,0
Guinea X 4/6/20,0
Guinea X 4/7/20,0
Guinea X 4/8/20,0
Guinea X 4/9/20,0
Guinea X 4/10/20,0
Guinea X 4/11/20,0
Guinea-Bissau X 4/5/20,0
Guinea-Bissau X 4/6/20,0
Guinea-Bissau X 4/7/20,0
Guinea-Bissau X 4/8/20,0
Guinea-Bissau X 4/9/20,0
Guinea-Bissau X 4/10/20,0
Guinea-Bissau X 4/11/20,0
Guyana X 4/5/20,4
Guyana X 4/6/20,4
Guyana X 4/7/20,5
Guyana X 4/8/20,6
Guyana X 4/9/20,6
Guyana X 4/10/20,6
Guyana X 4/11/20,6
Haiti X 4/5/20,1
Haiti X 4/6/20,1
Haiti X 4/7/20,1
Haiti X 4/8/20,1
Haiti X 4/9/20,2
Haiti X 4/10/20,2
Haiti X 4/11/20,2
Honduras X 4/5/20,22
Honduras X 4/6/20,22
Honduras X 4/7/20,22
Honduras X 4/8/20,22
Honduras X 4/9/20,23
Honduras X 4/10/20,23
Honduras X 4/11/20,24
Hungary X 4/5/20,34
Hungary X 4/6/20,38
Hungary X 4/7/20,47
Hungary X 4/8/20,58
Hungary X 4/9/20,66
Hungary X 4/10/20,77
Hungary X 4/11/20,85
Iceland X 4/5/20,4
Iceland X 4/6/20,6
Iceland X 4/7/20,6
Iceland X 4/8/20,6
Iceland X 4/9/20,6
Iceland X 4/10/20,7
Iceland X 4/11/20,8
India X 4/5/20,99
India X 4/6/20,136
India X 4/7/20,150
India X 4/8/20,178
India X 4/9/20,226
India X 4/10/20,246
India X 4/11/20,288
Indonesia X 4/5/20,198
Indonesia X 4/6/20,209
Indonesia X 4/7/20,221
Indonesia X 4/8/20,240
Indonesia X 4/9/20,280
Indonesia X 4/10/20,306
Indonesia X 4/11/20,327
Iran (Islamic Republic of) X 4/5/20,3603
Iran (Islamic Republic of) X 4/6/20,3739
Iran (Islamic Republic of) X 4/7/20,3872
Iran (Islamic Republic of) X 4/8/20,3993
Iran (Islamic Republic of) X 4/9/20,4110
Iran (Islamic Republic of) X 4/10/20,4232
Iran (Islamic Republic of) X 4/11/20,4357
Iraq X 4/5/20,61
Iraq X 4/6/20,64
Iraq X 4/7/20,65
Iraq X 4/8/20,69
Iraq X 4/9/20,69
Iraq X 4/10/20,70
Iraq X 4/11/20,72
Ireland X 4/5/20,158
Ireland X 4/6/20,174
Ireland X 4/7/20,210
Ireland X 4/8/20,235
Ireland X 4/9/20,263
Ireland X 4/10/20,287
Ireland X 4/11/20,320
Israel X 4/5/20,49
Israel X 4/6/20,57
Israel X 4/7/20,65
Israel X 4/8/20,73
Israel X 4/9/20,86
Israel X 4/10/20,95
Israel X 4/11/20,101
Italy X 4/5/20,15887
Italy X 4/6/20,16523
Italy X 4/7/20,17127
Italy X 4/8/20,17669
Italy X 4/9/20,18279
Italy X 4/10/20,18849
Italy X 4/11/20,19468
Jamaica X 4/5/20,3
Jamaica X 4/6/20,3
Jamaica X 4/7/20,3
Jamaica X 4/8/20,4
Jamaica X 4/9/20,4
Jamaica X 4/10/20,4
Jamaica X 4/11/20,4
Japan X 4/5/20,77
Japan X 4/6/20,85
Japan X 4/7/20,92
Japan X 4/8/20,93
Japan X 4/9/20,94
Japan X 4/10/20,99
Japan X 4/11/20,99
Jordan X 4/5/20,5
Jordan X 4/6/20,6
Jordan X 4/7/20,6
Jordan X 4/8/20,6
Jordan X 4/9/20,7
Jordan X 4/10/20,7
Jordan X 4/11/20,7
Kazakhstan X 4/5/20,6
Kazakhstan X 4/6/20,6
Kazakhstan X 4/7/20,6
Kazakhstan X 4/8/20,7
Kazakhstan X 4/9/20,8
Kazakhstan X 4/10/20,10
Kazakhstan X 4/11/20,10
Kenya X 4/5/20,4
Kenya X 4/6/20,6
Kenya X 4/7/20,6
Kenya X 4/8/20,6
Kenya X 4/9/20,7
Kenya X 4/10/20,7
Kenya X 4/11/20,7
Kiribati X 4/5/20,0
Kiribati X 4/6/20,0
Kiribati X 4/7/20,0
Kiribati X 4/8/20,0
Kiribati X 4/9/20,0
Kiribati X 4/10/20,0
Kiribati X 4/11/20,0
Kuwait X 4/5/20,1
Kuwait X 4/6/20,1
Kuwait X 4/7/20,1
Kuwait X 4/8/20,1
Kuwait X 4/9/20,1
Kuwait X 4/10/20,1
Kuwait X 4/11/20,1
Kyrgyzstan X 4/5/20,1
Kyrgyzstan X 4/6/20,4
Kyrgyzstan X 4/7/20,4
Kyrgyzstan X 4/8/20,4
Kyrgyzstan X 4/9/20,4
Kyrgyzstan X 4/10/20,5
Kyrgyzstan X 4/11/20,5
Lao People's Democratic Republic (the) X 4/5/20,0
Lao People's Democratic Republic (the) X 4/6/20,0
Lao People's Democratic Republic (the) X 4/7/20,0
Lao People's Democratic Republic (the) X 4/8/20,0
Lao People's Democratic Republic (the) X 4/9/20,0
Lao People's Democratic Republic (the) X 4/10/20,0
Lao People's Democratic Republic (the) X 4/11/20,0
Latvia X 4/5/20,1
Latvia X 4/6/20,1
Latvia X 4/7/20,2
Latvia X 4/8/20,2
Latvia X 4/9/20,3
Latvia X 4/10/20,3
Latvia X 4/11/20,3
Lebanon X 4/5/20,18
Lebanon X 4/6/20,19
Lebanon X 4/7/20,19
Lebanon X 4/8/20,19
Lebanon X 4/9/20,19
Lebanon X 4/10/20,20
Lebanon X 4/11/20,20
Lesotho X 4/5/20,0
Lesotho X 4/6/20,0
Lesotho X 4/7/20,0
Lesotho X 4/8/20,0
Lesotho X 4/9/20,0
Lesotho X 4/10/20,0
Lesotho X 4/11/20,0
Liberia X 4/5/20,3
Liberia X 4/6/20,3
Liberia X 4/7/20,3
Liberia X 4/8/20,4
Liberia X 4/9/20,4
Liberia X 4/10/20,5
Liberia X 4/11/20,5
Libya X 4/5/20,1
Libya X 4/6/20,1
Libya X 4/7/20,1
Libya X 4/8/20,1
Libya X 4/9/20,1
Libya X 4/10/20,1
Libya X 4/11/20,1
Liechtenstein X 4/5/20,1
Liechtenstein X 4/6/20,1
Liechtenstein X 4/7/20,1
Liechtenstein X 4/8/20,1
